SpanishData|BullyingLabel
bien dats apretado tu amigos ingenio truace sensación 2 kno ya que tu amigo tu wud kno hav gf ohhkayy primero offf jugando media de verdad bonito persona dnt kno me gusta pero tu pedir|0.0
bien tu decir idioma.. entonces.. coba tebak ini bahasa apa .. kamu ngerti ngga aku ngomong apa eh no hacer sentido pistolas alguna cosa lmao ven jajaja|0.0
emocionado correcto ummm verano bein casi no es|0.0
sueño último noche shh .dnt contar cualquiera1 k nada mwah|0.0
tu chicos preferir jonas hermanos justin bieber ahhh amor em haría vamos justin bieber bien &#39;metro mayor perfer|0.0
pensar formspring.me lejos da mierda divertido cosas|0.0
pensar atractivo característica ojos ligero marrón beautidul dom gracias dios oh manos culo jajaja jkjk|0.0
pensar mayor invención toda la vida el e comp cellfonne jeje|0.0
tipo vasos adivinar marca nombre|0.0
música escuchando hoy todo de verdad ahhaha amar hip hop cajero automático ester decano el e shyyttt|0.0
uno cosa excepcionalmente bueno urgh difícil responder umm problema fijación ordenadores decir ah si dijo soy me gusta fenómeno fixin comps mamá destruir jajaja|0.0
televisión show deseo haría vamos aire bueno colinas chuz lauren el e todo punto clld el e colinas 2much drama pero todavía wtch chuz amor 2 risa el e tonto mierda spencer pinchazo por cierto 0 0|0.0
mejor concierto se fue jonas hermanos concierto 13/08/09 todavía amor em pero justin bieber el e mierda|0.0
último libro leer milagro trabajador|0.0
peor consejo siempre recibido persona realmente dicho quot frito quot cierto amigo quiere 2 todavía persona amigo eso es no no|0.0
peor concierto se fue nunca 2 1 tht malo|0.0
peor trabajo siempre california quejar chuz dnt uno jajaja pronto aunque real pronto|0.0
peor sitio viajado georgia colón 2 si exacto disgusto aburrido hotlanta|0.0
favorito cumpleaños regalo vida umm no sé eso es difícil|0.0
favorito juguete jugar niño mierda suponer recuerda bicho raro tal vez tu mamás polla jajaja|1.0
favorito año 1995 nacido año doh no 2 cualquier cosa|0.0
peor viajar experiencia decir ah entra georgia ver papá madre ugh cnt estar pero dios bendecir alma largo vida historia|0.0
haría perfecto día mira me gusta amperio dios comiendo pollo alas trono 3 jajaja|0.0
uno comida nunca comer bruselas truchas yuckie pero amor repollo &#39;re mini coles lmao|0.0
uno cosa probablemente lanzar lejos nunca antiguo colegio mierda wud taaaan lanzar lejos pero mamá urgh|0.0
mejor sitio cerca obtener beber jajaja espere wht tipo beber jajaja bien jackinthebox me gusta evn milla lejos frmh casa adivinar eso wht tu preguntando lmao xp|0.0
mejor sitio cerca obtener hielo crema umm diario reina jackinthebox 4 4 batidos curso hielo crema mwah|0.0
más lejos siempre viajado virginia|0.0
mas largo siempre ido sin bañera ducha tal vez 2 días jajaja no sé|0.0
delicioso comida siempre guau difícil 1 dnt pensar he 1 muchos amor batidos aunque rico|0.0
origen nombre no sé mes 4 4 por supuesto jajaja|0.0
más raro cosa siempre comido pedazo césped|0.0
más raro cosa siempre comido havent conseguido 2 parte|0.0
mejor logro guau increíble pregunta .yo pensar mejor logro haría quot hallazgo quot eso es el e importante 33|0.0
más grande fobia ummmm sucio habitaciones|0.0
sueño coche alguna cosa lindo kno bien proyector sueño coche básicamente porshe|0.0
más temprano memoria curioso médico a través de gafas de sol boca jajaja|0.0
favorito canción fav canción femenino umm .. amperio corriendo jessicajarrell cajero automático un montón hbu|0.0
favorito beber mmm raíz cerveza fav beber eva pow|0.0
favorito comida realmente repollo|0.0
favorito género música popular|0.0
favorito película citar mierda difícil umm quot personas necesitar inspiración quot último canción 33|0.0
favorito película umm .. caminar recuerda último canción ugh mucho hbu|0.0
tu fav color rosado amperio neón verde sih amigo|0.0
que es tu fav televisión showww 3 umm bueno pregunta muchos pero adivinar dieciséis embarazada haría 1 fav unos cajero automático|0.0
siempre vamos google traducir no utilizar confiar jajaja wht tu tlkn combate niña|0.0
niño querer creció realmente niño querido adivinar crecer soy yendo jajaja difícil pregunta 2 responder|0.0
ya estados unidos conocido marte 3|0.0
haría me gusta gastar jubilación giro 60 60 ish pedir jajaja|0.0
haría me gusta en vivo los angeles 33|0.0
ideal fiesta destino umm dallas texas no sé soy llanura no sé mwhaha|0.0
primero beso umm .. largo hora hace pero me gusta 5 5 6 6 cory|0.0
parte superior tres celebridad aplasta yumm justin bieber p-diddys hijo jdoir mmm .jaja de verdad celeb pero si amperio amperio channing fckn tatum oh maldición|0.0
decidido tomar mierda cara soy bastante por supuesto enfermo contar ya encontrar promesa|1.0
pensar siguiente presidente unido estados umm barack obama 4 4 otro 4 4 años me encanta|0.0
mejor profesor siempre mmmh segundo grado enseñar señora. calldwell 3|0.0
más gracioso persona saber problema seeter robbie jajaja hace pálido n / a mierda cada vez habla jajaja|0.0
más bonito persona saber idkk mwauuuhhh|0.0
más inteligente persona saber justinbsource 4 4 por supuesto lmao|0.0
tu seguir carro primavera gorjeo siguiente gay justin beiber bien soy siguiendo cualquier cosa de verdad carro soo viejo me gusta tendencia dias justin bieber * idiota cnt deletrear|1.0
tu me gusta pequeño niños me gusta justin beiber umm bigga corazón siempre comienzo odio 16 años antiguo obviamente fanático obtener hechos derecho kay|1.0
tu me gusta beiber niño mucho cojo canta. umm .. tu kno wht wtf siempre detener hatin|1.0
-woaahhhhhh me gusta tipo youhr fondo asombroso 3 ilybbyy marryyyyy jajaja es yuhh abucheo jajaja noo durr suckkaaa nahhh loveee yuhhhh moooee|0.0
haría tu siempre vamos bungee saltando me gusta justin jajaja pensar haría siempre el e shizz el e tyme si haría hbu|0.0
haría más bien famoso músico famoso actor chico tal vez animador jkjk|0.0
haría más bien vampiro hombre-lobo hombre-lobo -aka- jacob orgullo jajaja bueno parte jajaja|0.0
haría más bien obtener temprano dormir tarde dormir tarde duh|0.0
haría más bien lujo yate privado chorro chorro odio barcos peor experiencia siempre barco nunca|0.0
haría más bien nadar piscina oceano piscina|0.0
haría más bien trabajo grande empresa pequeña uno ninguna|0.0
sí diferente calentar cali frio weeeell gtg gon n / a reunirse amigos minutos jajaja xx ohh hombre apuesta tha mierda ohhkayy seguro divertido 33|0.0
yeh r correcto 1 bf yehh jajaja idk.its raro ... chicos r niños soy solo jaja|0.0
yooooo compañero rinnalovesjb heyhey pedir cualquier cosa jajaja ight|0.0
actitud divertido gracias yuh soo muchh soy likin yurs 2 mwah|0.0
nada ummm tu no saber jose primero beso|0.0
jajaja volviendo loco camino por cierto no pedir volviendo loco camino|0.0
ahhh cierto.. cierto más obras de teatro música xd exactamente|0.0
dar uno favorito comida haría difícil ahh .. probablemente galletas|0.0
pshhh mentiroso ^^ soy mentiroso|0.0
comer desayuno hoy cereal|0.0
uno cosa en vivo sin correcto jajaja c|0.0
más grande logro ummm probablemente jugando sofbol 10 años|0.0
mejor sitio cerca obtener beber starbuckks|0.0
favorito parte reloj alquilar hmmmm pensar parte te chico apoyo canta tht parte hace lágrima arriba = / la boheme bueno uno dos|0.0
encontrar formspring.me umm manojo personas unido tiene aburrido querido|0.0
tu primero beso umm .. no saber querer kn|0.0
tu perfecto jajaja soy más lejano|0.0
vistiendo pags &#39;metro vistiendo|0.0
corazón 3 youu ah ah ah ii loveeee yuuuu moreee|0.0
lovee joiee 3 ii lovee yuuu moree pags|0.0
wub joie jajaja hola yo ceara ..|0.0
jon persona tu me gusta noo es nottt|0.0
joie beautifulllll aww gracias yuu aree|0.0
joiieeeee lalalovee youu 3 jajaja|0.0
lmao .. quot tu reall gracioso flaco culo perra quot .. hm .. de verdad mucho insulto grasa jajaja tu chupar talkn mierda más tarde blanco basura skank tu súper feo dakota del norte chico tu me gusta de verdad no es gon n / a ven espalda alrededor u. laterrrr ahhaha tu gracioso reall gracioso ndd dntt querer hatt chico venir bckk yo anyyy moree.ndd sih chupar tlking mierda jstt dntt tlk mierda esto es wouldd tlk itt tu cara iff sabia whoo esto es wass.bitch. gett vida ndd parar preocupante acerca de minas ..|1.0
jajaja lindo tu amigos espalda tu no importar tu todavía falso perra vamos encontrar real bf alguien tu liga jajaja feo culo guau sih soy falso perra tu el e onee eso es asustado sayy thiiss mierda myy face.bitchh .. tarjeta postal gett jodido uuppp tu reall gracioso flaco culo perra|1.0
piratee ninja ah ah piratas|0.0
de verdad travis vatio yuu significar|0.0
mierda hablando perra guau realmente porque aree yuu tlking esto mierda thiiss muelles ndd nott posada myy facee whooss el e coño|1.0
todavía perra oh guau bueno extremo tu el e onee eso es tlking mierda .cuzz idntt evnn knoo whooo thiisss iss|1.0
chupar jajaja listo h|1.0
uhm pensar amor volviendo loco joie thasss correcto 3 ah ah ah ndd ii lovee yo alott myy pequeño floricell 33|0.0
pensar atractivo característica uhmmm|0.0
favorito beber lemenadeee|0.0
talentoso persona saber uhm|0.0
tu tratar maldición difícil ajuste maldito yo saber ah ah ah gracioso|1.0
porque aree youu tal automóvil club británico faggottt ahahaha noo|1.0
puta vvv umm okkkayy gracias_|1.0
feo. oohhh bien gracias tu soo|1.0
quot uno información quot wtf vida mejor pensar dos veces tratar robar cosas perra. perra mierda dijo robando cosas tonto mierda|1.0
quot show cara anónimo quot wtf hacer sentido falso feo perra nunca dijo|1.0
detener odiando página kthx. haría pálido n / a odio|1.0
|0.0
muchachas barriga baile r chicos rotura baile|0.0
..son decir lmfaoo bien falso todos sabe necesitar vamos sayoonarra 3 decir soy falso|1.0
|0.0
soy lo siento soy uno falso dama jajaja venga maldición yo soy maldito mental saber js medio pensar necesitar stfu obtener maldición vida en lugar beng fingiendo niña por cierto bonito vuelve decir mental poner personas medio duh remontadas chupar|1.0
falso aunque hace sentido jajaja haría mantener fingiendo muelles estupendos pags saber real ashlee muchachas primavera ya soo mierda mayo perra no es falso|1.0
: 3 guau ashleeee falsificaciones entretener lmao bueno retrasado mantener página upp retrasado|1.0
soy sexy maldito culo duuude hecho risa maldito hardd gracias haciendo día bienvenidos maricón|1.0
13 r perfecto años aprender chupar polla dar mano trabajos. sicko|1.0
484 264 3364 llamada yo. bueno|0.0
jajaja mamá muerto gracias feo culo perra cuerpo sabe vida hablar mierda primavera bonita muchachas jelouse bien perra. ai bonita pshh hacer risa|1.0
llamado grasa saber &#39;metro lo siento|1.0
falso|1.0
famoso alguna cosa escuchó tú.. x nopee|1.0
grasa no|0.0
bueno verdugo chupar|0.0
mental hecho prueba vídeo hipocresía mentira|1.0
listo comienzo colegio 3) sí|0.0
soltero sí|0.0
ashlee ciro florida oye soy ashlee soy cansado todos comentando maldición primavera hablando mierda bueno|1.0
ashlee ciro r ciro cojo último nombre.r todos sabe ciro tiene ejército de reserva falso probablemente reall feo real prisionero de por vida imfao. duh curso ciro real último nombre falso último nombre|1.0
ashlee .yo más grande persona especial un rato vamos lote por favor mensaje www.findersingle.com nombre de usuario quot ilusorio quot por favor obtener extraño|0.0
pedir cualquier cosa incluye usuario informacion en g tu|0.0
basicc información nombre años ubicación grado ashlee 13 florida 7mo|0.0
mejor pequeño wayne canción umm no sé|0.0
mejor cosa sucedió verano nada de verdad|0.0
betty me gusta adorable mira me gusta grieta cabezas mierda baño querido incluso hacer sentido|1.0
perra stfu menos reconocer lyk tu cuidado perra|1.0
beto pepe|1.0
falso &#39;metro falso|1.0
llamada mañana 7:00 a.m. okay|0.0
polluelo maldito lesbain|1.0
pollo hamburguesas pollo 3333|1.0
más lindo|0.0
incluso saber mierda dejando mierda pared seriamente obtener vida. porque sintió me gusta uno|1.0
saber saber|0.0
maldición sí|0.0
odio personas dar corto aburrido respuestas preguntas sí hora|0.0
me gusta adtf sí|0.0
me gusta bodtf sí|0.0
me gusta nunca, nunca gritar un poco|0.0
me gusta limpiar sí me gusta sucio|1.0
me gusta nombre sí|0.0
pensar podría hacer bosque cámping suministros semana teléfono móvil infierno|0.0
molestia extraños tratar contar sí -__-|0.0
hacer enojado toneladas odio grupos mi espacio cuidado nunca más|1.0
dormitorio puerta bloquear|0.0
llamada perra vv|1.0
no odio personas fechado 2 dias poner quot amor personas nombre quot estados cosas odio mucho|0.0
tipo grave stupidddd stfu por cierto cansado personas hablando mierda formar primavera eliminar cuenta malo estúpido js diciendo|1.0
tipo ewwwwr vamos casa roger espalda|1.0
tipo parece me gusta todos odia eliminar socializar sitios cuidado|1.0
tipo fingiendo uno más mundo haría falso soy|1.0
siempre pandilla|0.0
siempre teñido cabello muchos veces nunca|0.0
todos mira niña utilizando señorita cerraduras imágenes dicho falso me gusta soy falso tomó bettys imágenes ella es tonto http //www.formspring.me/lmt23 k|1.0
ew bruto feo perra bruto perra|1.0
ewwwwwwww bueno saber soy ew|1.0
faaaaake falso|1.0
falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso falso|1.0
falso. falso|1.0
favorito banda hm uno|0.0
favorito color púrpura|0.0
favorito canción ya respondido|0.0
favorito canción alejandro dama gagá|0.0
obtener vida retorcido perra obtener vida|1.0
obtener desnudo ew|1.0
"muchachas hacer | tener animado chicos hacer | tener jugó fútbol americano no"|0.0
muchachas siempre faught chico sucedió chicos niña siempre faugh sucedió nooo|0.0
vamos infierno xd vamos infierno feo aspirante escena polluelo|1.0
brutos cara asqueroso|1.0
brutos cara asqueroso ver quejumbroso|1.0
adivinar obtener vida incluso saber haría incluso comienzo mierda seriamente debe poco desordenado cabeza patético. uno información no ai desordenado|1.0
chicos odio muchachas muchachas- odio chicos molesto|0.0
sin vida coño detener escritura pared mierda enfrentado puta yo mamá|1.0
siempre georgia 33 pálido n / a vamos|0.0
heey muchos muelles tu me gusta 50 maldición obtener vida. cuidado|1.0
hola. oye|0.0
galleta comer hurra nom nom|0.0
oye prima viniendo visitar nosotros gon n / a hacer primavera no sé|0.0
oye todos niña falsificaciones ejército de reserva k|1.0
oye soy ashlee soy cansado todos comentando maldición primavera hablando mierda|1.0
oye no vamos matar mucho ppl haría de verdad contento haría pálido n / a|1.0
heyyy feo maldito perra pensar sexy mierda además feo perra amperio tener cuidado enfermo maldito poner mierda explosión maldito estúpido culo coño mierda amperio detener hatein los pueblos paginas vamos feo culo. por favor perra yendo nada haría obtener vida|1.0
hola imbécil estúpido hola anónimo|1.0
hola maloliente podrido caca oler me gusta cerdos vómito vamos baño preguntado oler perdido baño cayó feo ropa pobre hedor me gusta hámster caca amor ram metal polo culo. &#39;re amor ver obtener golpear coche|1.0
hola ashlee dieciséis feo infierno tener cuidado adiós haría hablando beth|1.0
hola oye|0.0
hola oye|0.0
hmm preguntas bandeja de entrada ideas por supuesto|0.0
mamá estupendo|0.0
muchos hermanos 1|0.0
muchos tonto bandas ninguna|0.0
mucho sexo tipo pregunta sicko|1.0
a menudo vamos salón obtener alguna cosa hecho cabello me gusta dos veces mes|0.0
http //files.formspring.me/profile/20100511/4bea173ca6455_thumb.jpg stalkerrrr|0.0
saber nunca dijo tu feo por favor punto comentario mira. aprender deletrear|1.0
no saber parecer me gusta perra &#39;metro|1.0
encontró jensens cosita hipocresía de verdad ver imagen adivinar lindo gracias|0.0
odio primavera desorden -_- algunas veces|0.0
esperanza gilipollas consigue olisqueado sida esperanza obtener sida|1.0
saber asombroso cantante jeremy mckinnon taaaan gracioso amado dando alto cinco años camisa frio grasa chico jajaja saber banda agosto quemaduras rojo tipo me gusta dijo suerte|0.0
me gusta todos escribe insulto seriamente preguntas insultando jaja por supuesto soy insultando|1.0
me gusta tu bg gracias|0.0
amor adtr vvv fav saber cada canción corazón. grave bueno banda|0.0
nunca dijo dieciséis sexy dumbasssssss por supuesto perra|1.0
de verdad pálido n / a tomar abajo canción lmfaoo lmfao pensamiento alguna cosa más|0.0
jurar maldito dios perra odio mucho pensar añadir personas hablar mierda paginas naaa yuuu debe tiene nosotros follada soy yendo cazar culo golpear mierda youu manos kbitchhhh cojo culo broma california mierda|1.0
siniestro acosador todos maldito odia todos sabe maldito recordar armonía flashpink más feo un poco patético todos sabe falso muchachas querer atención tonto no falso|1.0
falso r lo siento. mentiroso|1.0
realizar circo truco haría no sé ..|0.0
yendo grosero amperio dar inteligente culo respuestas dejar de seguir bueno|1.0
soy grande ventilador betty tu ugler mierda perra tu feo mierda cabeza oh guau cuidado|1.0
soy aburrido|0.0
nadie deseo nunca reunió -_-|0.0
prima jajaja todos diciendo falso estúpido|1.0
lala lololol|0.0
aprender deletrear aprender contar aparte error de tipografía ortografía error aprender apropiado falso. aprender mantener maldición boca cerrar|1.0
lmfao maldito siniestro amperio debe amigos vida crear muliple muelles diciendo son falsificaciones dejar pensando todos quiere amperio copiar uno haría falso lo siento patético pregunta difícil. uno siniestro acosador|1.0
patético uno empezado mierda|1.0
cuerpo gustos yuuuuuuu me gusta cuidado|1.0
honestamente de verdad inmaduro uno|1.0
nom nom ñam ñam|0.0
obeso cerca obeso|1.0
oh dios de nuevo.|1.0
ohh mira niña falsificaciones falsificado|1.0
okae perra no tiene rápido remontadas maldito falso guau patético mucho|1.0
en línea 3 pags|0.0
bonita gurrrl gracias|0.0
puta salir betty solo coño cara puta|1.0
taaaan sexo mucho df|1.0
permanecer primavera incluso saber son..|1.0
stfu azada pedazo mierda guau sensación insultado|1.0
detener molesto betty por cierto de verdad triste pequeño niña niño pensar tu crecido utilizando grande palabras estúpido niño vivo falso vida detrás maldición teclado pantalla patético niña &#39;metro falso huno|1.0
detener dejando cosas me gusta quot falso quot estampado muerto dar lejos cabrón chupar coño hablando|1.0
detener haciendo falsificaciones feo mierda realmente dieciséis perra deff ciro obtener madre maldito vida coño. hacer falsificaciones persona obtener falsificaciones derecho js|1.0
eso es pensar correcto gim ideas amperio pedir cosas 33333 por supuesto|0.0
tu saber tu cuidado betty camino mejor mirando tu fugly|1.0
feo pedazo mierda detener hablando|1.0
feo. saber|1.0
uhm correcto vvvvvvv tonto detener comenzando mierda todos kcoolbye perra uno proceso de copiar|1.0
tu cara asqueroso sí|1.0
tu bonita tornillo cada uno pags gracias|1.0
bien crudo. crudo|0.0
yendo jajaja yendo soy yendo obtener perra patada vivo mierda feo falso pálido n / a perra hecho culo. sí correcto hacer risa|1.0
planes fin de semana yendo miami 3) yendo abuela|0.0
color ojos marrón|0.0
almuerzo maní mantequilla jalea bocadillo|0.0
pensar cama último noche oveja|0.0
me gusta mejor primavera personas pedir preguntas|0.0
jajaja media risa ruidoso|0.0
infierno. espalda|0.0
sitio web gastar hora mi espacio|0.0
mejor cosa alguien siempre hecho hecho mierda 0 0|0.0
favv parque acuatico vamos uno|0.0
que es último cosa yendo cama cepillo dientes|0.0
